clade_name,SRR30598618,SRR30598619,SRR30598620,SRR30598621,SRR30598622,SRR30598623,SRR30598624,SRR30598625,SRR30598626,SRR30598627,SRR30598628,SRR30598629,SRR30598630,SRR30598631,SRR30598633,SRR30598634,SRR30598635,SRR30598636,SRR30598637,SRR30598638,SRR30598639,SRR30598640,SRR30598641,SRR30598642,SRR30598643,SRR30598644,SRR30598645,SRR30598646,SRR30598647,SRR30598648,SRR30598650,SRR30598651,SRR30598652,SRR30598653,SRR30598654,SRR30598655,SRR30598656
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces oris_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0272,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces oris_D|t__GCF_001937665.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0272,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces oris_E,0,0,0,0,0,0,0,0.0186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114,0,0,0,0,0,0.0075,0,0,0,0,0,0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces oris_E|t__GCF_005696555.1,0,0,0,0,0,0,0,0.0186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114,0,0,0,0,0,0.0075,0,0,0,0,0,0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces oris|t__GCF_006546825.1,0,0,0,0,0,0,0,0.0398,0.0087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0146,0,0,0,0.0029,0,0,0,0,0,0.0083,0.0016
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces sp000195595,0,0,0,0.0046,0,0,0.0171,0,0,0,0,0,0.0099,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0.0076,0,0,0.0052,0.0115,0,0,0,0,0.0136,0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces sp000195595|t__GCF_000195595.1,0,0,0,0.0046,0,0,0.0171,0,0,0,0,0,0.0099,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0.0076,0,0,0.0052,0.0115,0,0,0,0,0.0136,0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces sp000220835,0,0,0,0,0,0,0,0,0.0054,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033,0,0,0,0,0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces sp000220835|t__GCF_000220835.1,0,0,0,0,0,0,0,0,0.0054,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033,0,0,0,0,0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces sp001278845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016,0,0,0,0,0,0,0,0,0,0
