"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"PWY-7942: 5-oxo-L-proline metabolism"	"sick"	"SM"	"sickSM"	2.38945249608314	0.575662398280218	0.690214388601957	0.0135159425743412	0.0464243244944763	0.0268492044450095	0.0599949037377424	NA	"abundance"	37	35
"PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)"	"sick"	"SM"	"sickSM"	1.70827965730311	0.575662398280218	0.432211353027936	0.0143027906027084	0.0488907890313736	0.0143027906027084	0.0370405602788091	NA	"abundance"	37	37
"PWY-7446: sulfoquinovose degradation I"	"sick"	"SM"	"sickSM"	3.1405601044805	0.575662398280218	0.98450913702828	0.0144276003465809	0.0490814538106172	0.0144276003465809	0.0371731539542007	NA	"abundance"	37	32
"PWY-5989: stearate biosynthesis II (bacteria and plants)"	"sick"	"SM"	"sickSM"	1.68693872975299	0.575662398280218	0.423910068340639	0.0146214662627074	0.049504107203738	0.0146214662627074	0.0374814236683617	NA	"abundance"	37	37
"PWY-7242: D-fructuronate degradation"	"sick"	"SM"	"sickSM"	-0.0120737562633887	0.575662398280218	0.213569781239143	0.0149100085703133	0.0501006525233314	0.0149100085703133	0.0379094902016967	NA	"abundance"	37	37
"PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II"	"sick"	"SM"	"sickSM"	1.30709649198159	0.575662398280218	0.273566769023689	0.0149385911883914	0.0501006525233314	0.0149385911883914	0.0379094902016967	NA	"abundance"	37	37
"PWY-6519: 8-amino-7-oxononanoate biosynthesis I"	"sick"	"SM"	"sickSM"	1.59638006918976	0.575662398280218	0.392562148567901	0.015433515539149	0.0515175096165958	0.015433515539149	0.0387757479963693	NA	"abundance"	37	37
"PWY-6562: norspermidine biosynthesis"	"sick"	"SM"	"sickSM"	-1.29238495046621	0.575662398280218	0.732220383599836	0.0163170202726483	0.0542121561394996	0.0323677953947185	0.0707607648239517	NA	"abundance"	37	34
"PWY0-41: allantoin degradation IV (anaerobic)"	"sick"	"SM"	"sickSM"	2.92713589463216	0.575662398280218	0.925412838675759	0.0166119563189224	0.0549353532221109	0.0329479555451031	0.0717186101305045	NA	"abundance"	37	34
"GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway"	"sick"	"SM"	"sickSM"	1.35774946081151	0.575662398280218	0.300748611985888	0.0170055011457402	0.0559764412713947	0.0170055011457402	0.0423043255103389	NA	"abundance"	37	37
"FERMENTATION-PWY: mixed acid fermentation"	"sick"	"SM"	"sickSM"	-0.303357088764866	0.575662398280218	0.342248202502861	0.0173950746330256	0.0569949219542912	0.0173950746330256	0.0430613367141075	NA	"abundance"	37	37
"PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis"	"sick"	"SM"	"sickSM"	2.17813252354971	0.575662398280218	0.639097729193182	0.0180718102617132	0.0589406288810922	0.0358170301972911	0.0769685117005617	NA	"abundance"	37	35
"PWY-5690: TCA cycle II (plants and fungi)"	"sick"	"SM"	"sickSM"	-1.20930139999053	0.575662398280218	0.71293683744665	0.018232823810203	0.0590978921831015	0.036133211756312	0.0772163062024531	NA	"abundance"	37	35
"PWY-801: homocysteine and cysteine interconversion"	"sick"	"SM"	"sickSM"	2.53951583811421	0.575662398280218	0.786584761766902	0.0182862676234632	0.0590978921831015	0.0362381476633295	0.0772163062024531	NA	"abundance"	37	35
"PWY-8190: L-glutamate degradation XI (reductive Stickland reaction)"	"sick"	"SM"	"sickSM"	-0.629882665719288	0.575662398280218	0.478818053801458	0.0187610730339074	0.060358022294607	0.0371701682064312	0.0788694745556628	NA	"abundance"	37	33
"PWY-6292: superpathway of L-cysteine biosynthesis (mammalian)"	"sick"	"SM"	"sickSM"	-0.967071366747076	0.575662398280218	0.620661212267285	0.0188842581298627	0.0604806645510468	0.0188842581298627	0.0462939337649547	NA	"abundance"	37	37
"PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type"	"sick"	"SM"	"sickSM"	1.62961555766175	0.575662398280218	0.423314019288274	0.0196199927463775	0.0625552235097507	0.0196199927463775	0.0478651996952688	NA	"abundance"	37	37
"LPSSYN-PWY: superpathway of lipopolysaccharide biosynthesis"	"sick"	"SM"	"sickSM"	3.24424158447162	0.575662398280218	1.0714652053385	0.0197688987388198	0.0627486026933076	0.0197688987388198	0.047996605111077	NA	"abundance"	37	28
"PWY-7664: oleate biosynthesis IV (anaerobic)"	"sick"	"SM"	"sickSM"	1.58779269995078	0.575662398280218	0.407149337205593	0.0199212984662176	0.0629513031532476	0.0199212984662176	0.048135194858564	NA	"abundance"	37	37
"FASYN-ELONG-PWY: fatty acid elongation -- saturated"	"sick"	"SM"	"sickSM"	1.56941379870151	0.575662398280218	0.400699746075458	0.0203779466863518	0.0638269607665029	0.0203779466863518	0.0485418069651306	NA	"abundance"	37	37
"PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis"	"sick"	"SM"	"sickSM"	-0.026910723942316	0.575662398280218	0.2336714176713	0.0202992339759567	0.0638269607665029	0.0202992339759567	0.0485418069651306	NA	"abundance"	37	37
"GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"	"sick"	"SM"	"sickSM"	2.18890134345969	0	0.946698337420741	0.0207698385582111	0.0644862673139219	0.0411082909226881	0.0857838302312293	NA	"prevalence"	37	31
"PWY-6748: nitrate reduction VII (denitrification)"	"sick"	"SM"	"sickSM"	-2.18890134345969	0	0.946698337420741	0.0207698385582111	0.0644862673139219	0.0411082909226881	0.0857838302312293	NA	"prevalence"	37	6
"PWY-5188: tetrapyrrole biosynthesis I (from glutamate)"	"sick"	"SM"	"sickSM"	-0.351915170511772	0.575662398280218	0.3761233671316	0.0216636297332347	0.0663915549152148	0.0216636297332347	0.0511221168938481	NA	"abundance"	37	37
"PWY-6953: dTDP-3-acetamido-&alpha;-D-fucose biosynthesis"	"sick"	"SM"	"sickSM"	-0.984701801159036	0.575662398280218	0.637343552687353	0.0219008283684782	0.0668304247638969	0.0433220104537308	0.0897982626830483	NA	"abundance"	37	30
"PWY-7456: &beta;-(1,4)-mannan degradation"	"sick"	"SM"	"sickSM"	-0.67019118077476	0.575662398280218	0.515559756466033	0.0227942523915783	0.0692594591897955	0.0450689268410656	0.092897175733625	NA	"abundance"	37	36
"PWY-6168: flavin biosynthesis III (fungi)"	"sick"	"SM"	"sickSM"	1.63464327687021	0.575662398280218	0.440113976122264	0.0236035109152859	0.0714131755777373	0.0236035109152859	0.0546778578542173	NA	"abundance"	37	37
"GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation"	"sick"	"SM"	"sickSM"	0.0276222822557415	0.575662398280218	0.216180896953536	0.0238047918521114	0.0717169788425898	0.0238047918521114	0.0548923282434532	NA	"abundance"	37	37
